Sender City,Receiving IP,Forwarding IP,Sender Timestamp,Receiver Timestamp,Forwarding Timestamp,Latency (ms),Processing Delay (ms),Dropped Packets,Filtered Packets
city4,192.168.1.11,192.168.1.6,1747938009961,1747938010523,1747938010531,562,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009963,1747938010531,Filtered,568,0,0,1
city4,192.168.1.11,192.168.1.6,1747938009966,1747938010532,Filtered,566,0,0,1
city4,192.168.1.11,192.168.1.6,1747938009968,1747938010532,1747938010539,564,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009970,1747938010540,1747938010547,570,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009972,1747938010547,Filtered,575,0,0,1
city4,192.168.1.11,192.168.1.6,1747938009974,1747938010548,1747938010555,574,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009976,1747938010556,1747938010563,580,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009978,1747938010563,1747938010570,585,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009980,1747938010570,1747938010577,590,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009983,1747938010577,1747938010585,594,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009985,1747938010585,1747938010593,600,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009987,1747938010593,1747938010601,606,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009989,1747938010601,1747938010607,612,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009991,1747938010608,1747938010614,617,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009993,1747938010615,1747938010622,622,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009995,1747938010622,1747938010629,627,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009997,1747938010629,1747938010636,632,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010000,1747938010636,1747938010643,636,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010002,1747938010643,1747938010650,641,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010004,1747938010650,1747938010657,646,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010006,1747938010658,1747938010664,652,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010008,1747938010664,1747938010670,656,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010010,1747938010671,1747938010677,661,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010012,1747938010677,1747938010684,665,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010014,1747938010684,1747938010690,670,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010016,1747938010690,1747938010696,674,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010019,1747938010697,1747938010702,678,5,0,0
city4,192.168.1.11,192.168.1.6,1747938010021,1747938010703,1747938010709,682,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010023,1747938010709,1747938010716,686,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010025,1747938010716,1747938010722,691,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010027,1747938010722,1747938010729,695,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010029,1747938010729,1747938010735,700,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010031,1747938010735,1747938010741,704,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010033,1747938010742,1747938010748,709,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010035,1747938010748,1747938010755,713,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010038,1747938010755,1747938010761,717,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010040,1747938010762,1747938010767,722,5,0,0
city4,192.168.1.11,192.168.1.6,1747938010042,1747938010768,1747938010773,726,5,0,0
city4,192.168.1.11,192.168.1.6,1747938010044,1747938010774,1747938010780,730,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010046,1747938010780,1747938010788,734,8,0,0
city4,192.168.1.11,192.168.1.6,1747938010048,1747938010788,1747938010795,740,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010050,1747938010795,1747938010803,745,8,0,0
city4,192.168.1.11,192.168.1.6,1747938010052,1747938010803,1747938010810,751,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010054,1747938010811,1747938010818,757,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010056,1747938010818,1747938010825,762,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010059,1747938010826,1747938010833,767,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010061,1747938010833,1747938010841,772,8,0,0
city4,192.168.1.11,192.168.1.6,1747938010063,1747938010842,1747938010849,779,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010065,1747938010849,1747938010856,784,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010067,1747938010857,1747938010864,790,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010076,1747938010864,1747938010870,788,6,3,0
city4,192.168.1.11,192.168.1.6,1747938010078,1747938010870,1747938010877,792,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010080,1747938010878,1747938010884,798,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010082,1747938010885,1747938010890,803,5,0,0
city4,192.168.1.11,192.168.1.6,1747938010084,1747938010891,1747938010898,807,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010086,1747938010898,1747938010904,812,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010088,1747938010905,1747938010911,817,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010091,1747938010912,1747938010918,821,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010093,1747938010918,1747938010925,825,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010095,1747938010925,1747938010931,830,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010097,1747938010932,1747938010938,835,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010099,1747938010938,1747938010945,839,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010101,1747938010945,1747938010952,844,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010103,1747938010952,1747938010959,849,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010105,1747938010960,1747938010966,855,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010107,1747938010966,1747938010972,859,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010110,1747938010972,1747938010980,862,8,0,0
city4,192.168.1.11,192.168.1.6,1747938010112,1747938010980,1747938010986,868,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010114,1747938010986,1747938010992,872,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010116,1747938010993,1747938011000,877,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010118,1747938011000,1747938011006,882,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010120,1747938011006,1747938011013,886,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010122,1747938011013,1747938011020,891,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010125,1747938011020,1747938011026,895,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010127,1747938011027,1747938011033,900,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010129,1747938011033,1747938011040,904,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010131,1747938011040,1747938011046,909,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010133,1747938011047,1747938011054,914,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010135,1747938011054,1747938011060,919,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010137,1747938011060,1747938011067,923,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010139,1747938011067,1747938011074,928,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010141,1747938011074,1747938011080,933,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010143,1747938011081,1747938011088,938,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010146,1747938011088,1747938011095,942,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010148,1747938011095,1747938011102,947,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010150,1747938011102,1747938011110,952,8,0,0
city4,192.168.1.11,192.168.1.6,1747938010152,1747938011110,1747938011117,958,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010255,1747938011117,1747938011120,862,3,48,0
city4,192.168.1.11,192.168.1.6,1747938010257,1747938011120,1747938011122,863,2,0,0
city4,192.168.1.11,192.168.1.6,1747938010259,1747938011122,1747938011123,863,1,0,0
city4,192.168.1.11,192.168.1.6,1747938010262,1747938011124,1747938011125,862,1,0,0
city4,192.168.1.11,192.168.1.6,1747938010264,1747938011125,1747938011132,861,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010266,1747938011133,1747938011141,867,8,0,0
city4,192.168.1.11,192.168.1.6,1747938010268,1747938011141,Filtered,873,0,0,1
city4,192.168.1.11,192.168.1.6,1747938010270,1747938011141,Filtered,871,0,0,1
city4,192.168.1.11,192.168.1.6,1747938010272,1747938011142,1747938011149,870,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010274,1747938011149,1747938011157,875,8,0,0
city4,192.168.1.11,192.168.1.6,1747938010276,1747938011157,Filtered,881,0,0,1
city4,192.168.1.11,192.168.1.6,1747938010279,1747938011157,1747938011165,878,8,0,0
city4,192.168.1.11,192.168.1.6,1747938010281,1747938011165,1747938011172,884,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010283,1747938011173,1747938011179,890,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010285,1747938011180,1747938011187,895,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010287,1747938011187,1747938011194,900,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010289,1747938011195,1747938011202,906,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010291,1747938011203,1747938011210,912,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010293,1747938011211,1747938011217,918,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010296,1747938011218,1747938011224,922,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010298,1747938011224,1747938011232,926,8,0,0
city4,192.168.1.11,192.168.1.6,1747938010300,1747938011232,1747938011239,932,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010302,1747938011239,1747938011246,937,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010304,1747938011246,1747938011253,942,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010306,1747938011253,1747938011260,947,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010308,1747938011260,1747938011267,952,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010310,1747938011267,1747938011274,957,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010312,1747938011274,1747938011280,962,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010315,1747938011280,1747938011287,965,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010317,1747938011287,1747938011293,970,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010319,1747938011294,1747938011300,975,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010321,1747938011300,1747938011306,979,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010323,1747938011307,1747938011312,984,5,0,0
city4,192.168.1.11,192.168.1.6,1747938010325,1747938011313,1747938011318,988,5,0,0
city4,192.168.1.11,192.168.1.6,1747938010327,1747938011319,1747938011325,992,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010330,1747938011326,1747938011332,996,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010332,1747938011332,1747938011339,1000,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010334,1747938011339,1747938011345,1005,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010336,1747938011345,1747938011351,1009,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010338,1747938011352,1747938011358,1014,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010340,1747938011358,1747938011365,1018,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010376,1747938011365,1747938011372,989,7,16,0
city4,192.168.1.11,192.168.1.6,1747938010378,1747938011372,1747938011378,994,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010380,1747938011379,1747938011385,999,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010383,1747938011385,1747938011392,1002,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010385,1747938011392,1747938011399,1007,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010387,1747938011400,1747938011405,1013,5,0,0
city4,192.168.1.11,192.168.1.6,1747938010389,1747938011406,1747938011412,1017,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010391,1747938011413,1747938011419,1022,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010393,1747938011419,1747938011426,1026,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010395,1747938011426,1747938011433,1031,7,0,0
